time;mutants;score;variant
12924;5066;45.992893;all
13299;5066;45.992893;all
12895;5066;46.012634;all
12827;5066;45.992893;all
12790;5066;45.992893;all
81890;5066;45.992893;no-meta
81901;5066;45.992893;no-meta
81913;5066;45.992893;no-meta
78702;5066;45.992893;no-meta
79353;5066;45.992893;no-meta
16170;5066;45.992893;no-coverage
17241;5066;45.992893;no-coverage
16494;5066;45.992893;no-coverage
16326;5066;45.992893;no-coverage
16503;5066;45.992893;no-coverage
108443;5066;46.03237;none
108827;5066;45.992893;none
106531;5066;45.992893;none
105194;5066;45.992893;none
105443;5066;46.03237;none
